county,date,average temperature
Alachua,1/3/2020,50.5
Alachua,2/3/2020,60.0
Alachua,3/3/2020,69.5
Alachua,4/3/2020,71.5
Alachua,5/3/2020,74.5
Alachua,6/3/2020,60.0
Alachua,7/3/2020,50.0
Alachua,8/3/2020,52.0
Alachua,9/3/2020,62.0
Alachua,10/3/2020,66.0
Alachua,11/3/2020,67.0
Alachua,12/3/2020,65.5
Alachua,13/3/2020,67.5
Alachua,14/3/2020,70.0
Alachua,15/3/2020,72.5
Alachua,16/3/2020,73.5
Alachua,17/3/2020,72.0
Alachua,18/3/2020,73.5
Alachua,19/3/2020,72.5
Alachua,20/3/2020,73.5
Alachua,21/3/2020,72.0
Alachua,22/3/2020,72.0
Alachua,23/3/2020,75.0
Alachua,24/3/2020,71.0
Alachua,25/3/2020,76.5
Alachua,26/3/2020,75.0
Alachua,27/3/2020,73.5
Alachua,28/3/2020,75.0
Alachua,29/3/2020,75.5
Alachua,30/3/2020,75.0
Alachua,31/3/2020,73.5
Alachua,1/4/2020,59.0
Alachua,2/4/2020,58.5
Alachua,3/4/2020,62.0
Alachua,4/4/2020,66.5
Alachua,5/4/2020,65.5
Alachua,6/4/2020,68.0
Alachua,7/4/2020,71.0
Alachua,8/4/2020,73.5
Alachua,9/4/2020,80.5
Alachua,10/4/2020,64.0
Alachua,11/4/2020,62.5
Alachua,12/4/2020,78.5
Alachua,13/4/2020,81.0
Alachua,14/4/2020,73.5
Alachua,15/4/2020,69.5
Alachua,16/4/2020,63.0
Alachua,17/4/2020,66.5
Alachua,18/4/2020,71.0
Alachua,19/4/2020,78.0
Alachua,20/4/2020,74.0
Alachua,21/4/2020,71.5
Alachua,22/4/2020,67.0
Alachua,23/4/2020,75.5
Alachua,24/4/2020,70.0
Alachua,25/4/2020,75.0
Alachua,26/4/2020,70.5
Alachua,27/4/2020,63.5
Alachua,28/4/2020,65.0
Alachua,29/4/2020,71.5
Alachua,30/4/2020,69.0
Alachua,1/5/2020,64.0
Alachua,2/5/2020,67.0
Alachua,3/5/2020,71.0
Alachua,4/5/2020,71.5
Alachua,5/5/2020,74.0
Alachua,6/5/2020,72.0
Alachua,7/5/2020,61.5
Alachua,8/5/2020,62.0
Alachua,9/5/2020,70.0
Alachua,10/5/2020,66.5
Alachua,11/5/2020,69.0
Alachua,12/5/2020,66.5
Alachua,13/5/2020,68.5
Alachua,14/5/2020,71.5
Alachua,15/5/2020,72.0
Alachua,16/5/2020,75.5
Alachua,17/5/2020,78.5
Alachua,18/5/2020,77.5
Alachua,19/5/2020,77.0
Alachua,20/5/2020,77.5
Alachua,21/5/2020,78.5
Alachua,22/5/2020,79.0
Alachua,23/5/2020,80.0
Alachua,24/5/2020,78.5
Alachua,25/5/2020,75.5
Alachua,26/5/2020,76.0
Alachua,27/5/2020,78.0
Alachua,28/5/2020,78.5
Alachua,29/5/2020,77.0
Alachua,30/5/2020,79.5
